Activation,Label,Alpha,Training Accuracy,Test Accuracy,Training Loss,Test Loss,Epochs
logistic,logistic_lr0.01_ep100_lay2,0.0001,0.5764,0.5705,0.5371,0.5836,100
logistic,logistic_lr0.01_ep100_lay2,0.01,0.5717,0.5827,0.5465,0.5658,100
logistic,logistic_lr0.01_ep100_lay3,0.0001,0.579,0.5818,0.5313,0.5714,100
logistic,logistic_lr0.01_ep100_lay3,0.01,0.5691,0.5658,0.5477,0.5818,100
logistic,logistic_lr0.01_ep200_lay2,0.0001,0.5851,0.5752,0.54,0.5733,121
logistic,logistic_lr0.01_ep200_lay2,0.01,0.5719,0.5799,0.5428,0.5742,106
logistic,logistic_lr0.01_ep200_lay3,0.0001,0.5917,0.5818,0.5153,0.5742,200
logistic,logistic_lr0.01_ep200_lay3,0.01,0.5797,0.5648,0.5327,0.5752,192
logistic,logistic_lr0.1_ep100_lay2,0.0001,0.5933,0.5461,0.531,0.6128,87
logistic,logistic_lr0.1_ep100_lay2,0.01,0.5853,0.563,0.5291,0.5771,62
logistic,logistic_lr0.1_ep100_lay3,0.0001,0.5961,0.5517,0.5266,0.6081,100
logistic,logistic_lr0.1_ep100_lay3,0.01,0.5914,0.5498,0.5331,0.5865,87
logistic,logistic_lr0.1_ep200_lay2,0.0001,0.5933,0.5461,0.531,0.6128,87
logistic,logistic_lr0.1_ep200_lay2,0.01,0.5853,0.563,0.5291,0.5771,62
logistic,logistic_lr0.1_ep200_lay3,0.0001,0.6025,0.5498,0.4988,0.5846,102
logistic,logistic_lr0.1_ep200_lay3,0.01,0.5914,0.5498,0.5331,0.5865,87
tanh,tanh_lr0.01_ep100_lay2,0.0001,0.6018,0.562,0.5146,0.5865,100
tanh,tanh_lr0.01_ep100_lay2,0.01,0.6008,0.562,0.5188,0.5855,100
tanh,tanh_lr0.01_ep100_lay3,0.0001,0.6147,0.5395,0.4972,0.6513,100
tanh,tanh_lr0.01_ep100_lay3,0.01,0.6117,0.5385,0.4937,0.6485,100
tanh,tanh_lr0.01_ep200_lay2,0.0001,0.6037,0.5545,0.5179,0.5865,121
tanh,tanh_lr0.01_ep200_lay2,0.01,0.6008,0.5602,0.5291,0.578,121
tanh,tanh_lr0.01_ep200_lay3,0.0001,0.6244,0.5442,0.4854,0.657,129
tanh,tanh_lr0.01_ep200_lay3,0.01,0.6175,0.5451,0.5118,0.6419,169
tanh,tanh_lr0.1_ep100_lay2,0.0001,0.5731,0.5404,0.5682,0.6419,62
tanh,tanh_lr0.1_ep100_lay2,0.01,0.571,0.5404,0.5856,0.6241,35
tanh,tanh_lr0.1_ep100_lay3,0.0001,0.5639,0.5508,0.5874,0.6194,44
tanh,tanh_lr0.1_ep100_lay3,0.01,0.5696,0.5658,0.5698,0.5818,23
tanh,tanh_lr0.1_ep200_lay2,0.0001,0.5731,0.5404,0.5682,0.6419,62
tanh,tanh_lr0.1_ep200_lay2,0.01,0.571,0.5404,0.5856,0.6241,35
tanh,tanh_lr0.1_ep200_lay3,0.0001,0.5639,0.5508,0.5874,0.6194,44
tanh,tanh_lr0.1_ep200_lay3,0.01,0.5696,0.5658,0.5698,0.5818,23
relu,relu_lr0.01_ep100_lay2,0.0001,0.5938,0.5648,0.5444,0.5724,100
relu,relu_lr0.01_ep100_lay2,0.01,0.594,0.5573,0.5378,0.61,100
relu,relu_lr0.01_ep100_lay3,0.0001,0.6004,0.5545,0.5223,0.6118,90
relu,relu_lr0.01_ep100_lay3,0.01,0.5992,0.5536,0.5233,0.609,90
relu,relu_lr0.01_ep200_lay2,0.0001,0.5929,0.5564,0.5409,0.594,121
relu,relu_lr0.01_ep200_lay2,0.01,0.5947,0.563,0.5233,0.5902,121
relu,relu_lr0.01_ep200_lay3,0.0001,0.6004,0.5545,0.5223,0.6118,90
relu,relu_lr0.01_ep200_lay3,0.01,0.5992,0.5536,0.5233,0.609,90
relu,relu_lr0.1_ep100_lay2,0.0001,0.5475,0.5263,0.6098,0.6635,54
relu,relu_lr0.1_ep100_lay2,0.01,0.5639,0.547,0.5921,0.6316,35
relu,relu_lr0.1_ep100_lay3,0.0001,0.5444,0.5404,0.6298,0.6241,44
relu,relu_lr0.1_ep100_lay3,0.01,0.5362,0.531,0.6063,0.6222,38
relu,relu_lr0.1_ep200_lay2,0.0001,0.5475,0.5263,0.6098,0.6635,54
relu,relu_lr0.1_ep200_lay2,0.01,0.5639,0.547,0.5921,0.6316,35
relu,relu_lr0.1_ep200_lay3,0.0001,0.5444,0.5404,0.6298,0.6241,44
relu,relu_lr0.1_ep200_lay3,0.01,0.5362,0.531,0.6063,0.6222,38
