Model,Activation,Learning Rate,Epochs,Hidden Layers,Regularization (Alpha),Train Accuracy,Test Accuracy,Train MSE,Test MSE
logistic_lr0.01_ep100_hl2_alpha0.0001,logistic,0.01,100,2,0.0001,0.5806,0.5789,0.547,0.5461
logistic_lr0.01_ep100_hl2_alpha0.01,logistic,0.01,100,2,0.01,0.5738,0.5733,0.5505,0.547
logistic_lr0.01_ep100_hl3_alpha0.0001,logistic,0.01,100,3,0.0001,0.5829,0.5602,0.5477,0.5686
logistic_lr0.01_ep100_hl3_alpha0.01,logistic,0.01,100,3,0.01,0.5797,0.5536,0.5533,0.578
logistic_lr0.01_ep200_hl2_alpha0.0001,logistic,0.01,200,2,0.0001,0.5881,0.578,0.5451,0.5451
logistic_lr0.01_ep200_hl2_alpha0.01,logistic,0.01,200,2,0.01,0.5839,0.5808,0.5439,0.5367
logistic_lr0.01_ep200_hl3_alpha0.0001,logistic,0.01,200,3,0.0001,0.5848,0.5724,0.5289,0.5583
logistic_lr0.01_ep200_hl3_alpha0.01,logistic,0.01,200,3,0.01,0.5773,0.562,0.543,0.5658
logistic_lr0.1_ep100_hl2_alpha0.0001,logistic,0.1,100,2,0.0001,0.593,0.5564,0.5397,0.5648
logistic_lr0.1_ep100_hl2_alpha0.01,logistic,0.1,100,2,0.01,0.5844,0.547,0.5496,0.5977
logistic_lr0.1_ep100_hl3_alpha0.0001,logistic,0.1,100,3,0.0001,0.6001,0.5451,0.5134,0.5912
logistic_lr0.1_ep100_hl3_alpha0.01,logistic,0.1,100,3,0.01,0.5771,0.547,0.5437,0.593
logistic_lr0.1_ep200_hl2_alpha0.0001,logistic,0.1,200,2,0.0001,0.593,0.5564,0.5397,0.5648
logistic_lr0.1_ep200_hl2_alpha0.01,logistic,0.1,200,2,0.01,0.5844,0.547,0.5496,0.5977
logistic_lr0.1_ep200_hl3_alpha0.0001,logistic,0.1,200,3,0.0001,0.6029,0.5508,0.508,0.5789
logistic_lr0.1_ep200_hl3_alpha0.01,logistic,0.1,200,3,0.01,0.5771,0.547,0.5437,0.593
tanh_lr0.01_ep100_hl2_alpha0.0001,tanh,0.01,100,2,0.0001,0.6006,0.5508,0.5359,0.6335
tanh_lr0.01_ep100_hl2_alpha0.01,tanh,0.01,100,2,0.01,0.59,0.5461,0.5533,0.6156
tanh_lr0.01_ep100_hl3_alpha0.0001,tanh,0.01,100,3,0.0001,0.6114,0.5414,0.523,0.6297
tanh_lr0.01_ep100_hl3_alpha0.01,tanh,0.01,100,3,0.01,0.6093,0.5451,0.5263,0.6175
tanh_lr0.01_ep200_hl2_alpha0.0001,tanh,0.01,200,2,0.0001,0.605,0.5583,0.5273,0.5996
tanh_lr0.01_ep200_hl2_alpha0.01,tanh,0.01,200,2,0.01,0.59,0.5461,0.5533,0.6156
tanh_lr0.01_ep200_hl3_alpha0.0001,tanh,0.01,200,3,0.0001,0.6292,0.5442,0.5,0.6438
tanh_lr0.01_ep200_hl3_alpha0.01,tanh,0.01,200,3,0.01,0.6349,0.5423,0.488,0.6513
tanh_lr0.1_ep100_hl2_alpha0.0001,tanh,0.1,100,2,0.0001,0.5792,0.5545,0.5547,0.5902
tanh_lr0.1_ep100_hl2_alpha0.01,tanh,0.1,100,2,0.01,0.5442,0.5075,0.6283,0.7039
tanh_lr0.1_ep100_hl3_alpha0.0001,tanh,0.1,100,3,0.0001,0.5482,0.5263,0.6306,0.6335
tanh_lr0.1_ep100_hl3_alpha0.01,tanh,0.1,100,3,0.01,0.5564,0.5141,0.6135,0.641
tanh_lr0.1_ep200_hl2_alpha0.0001,tanh,0.1,200,2,0.0001,0.5792,0.5545,0.5547,0.5902
tanh_lr0.1_ep200_hl2_alpha0.01,tanh,0.1,200,2,0.01,0.5442,0.5075,0.6283,0.7039
tanh_lr0.1_ep200_hl3_alpha0.0001,tanh,0.1,200,3,0.0001,0.5482,0.5263,0.6306,0.6335
tanh_lr0.1_ep200_hl3_alpha0.01,tanh,0.1,200,3,0.01,0.5564,0.5141,0.6135,0.641
relu_lr0.01_ep100_hl2_alpha0.0001,relu,0.01,100,2,0.0001,0.5987,0.5648,0.539,0.578
relu_lr0.01_ep100_hl2_alpha0.01,relu,0.01,100,2,0.01,0.5996,0.5498,0.5402,0.5874
relu_lr0.01_ep100_hl3_alpha0.0001,relu,0.01,100,3,0.0001,0.5973,0.5639,0.5266,0.5639
